0,INIT,0,1,279000
0,INIT,1,1,279000
0,SOL_INIT_SCHED,1,1,30,90,2,1500,1,2000,82,2,4000,46
10175,HO,0,1,35,0,0,0
43242,HO,0,1,30,0,0,0
47717,HO,0,2,248,1,26,0
57942,HO,0,1,1,0,0,0
75509,HO,0,1,12,0,0,0
90277,HO,0,1,29,0,0,0
106876,HO,0,1,48,0,0,0
110659,HO,0,1,17,3,1,0
120834,HO,0,1,16,0,0,0
123465,HO,0,1,71,0,0,0
127547,HO,0,1,20,0,0,0
141432,HO,0,1,34,1,39,0
145912,HO,0,2,265,0,0,0
155271,HO,0,1,51,1,6,0
175199,HO,0,1,27,0,0,0
201968,HO,0,1,31,0,0,0
202423,HO,0,1,21,4,29,0
212598,HO,0,2,217,0,0,0
227744,HO,0,2,239,0,0,0
228415,HO,0,2,68,4,4,0
233848,HO,0,2,48,0,0,0
236539,HO,0,1,22,4,1,0
246714,HO,0,2,220,0,0,0
258493,HO,0,2,39,4,4,0
261260,HO,0,2,35,3,1,0
264561,HO,0,1,27,1,33,0
