0,INIT,0,1,472000
0,INIT,1,1,472000
0,SOL_INIT_SCHED,1,0,30,90,2,1500,1,2000,82,2,4000,46
13109,HO,0,1,24,1,39,0
20888,HO,0,1,27,0,0,0
62094,HO,0,2,74,0,0,0
80887,HO,0,2,25,6,1,0
87729,HO,0,2,49,0,503,0
93363,HO,0,1,60,1,33,0
93815,HO,0,1,34,0,0,0
104024,HO,0,1,1,3,1,0
113417,HO,0,2,67,0,1,0
121766,HO,0,2,35,1,13,0
129247,HO,0,2,43,0,0,0
131894,HO,0,2,27,1,1,0
136700,HO,0,2,60,3,1,0
140313,HO,0,2,70,0,0,0
141716,HO,0,1,23,0,0,0
151314,HO,0,2,267,1,1,0
157911,HO,0,2,23,1,65,0
165798,HO,0,2,34,0,0,0
179213,HO,0,2,52,3,1,0
184107,HO,0,1,67,3,1,0
189762,HO,0,1,23,0,0,0
230875,HO,0,1,18,0,0,0
236536,HO,0,1,23,0,0,0
237733,HO,0,1,24,0,0,0
243274,HO,0,1,27,0,0,0
244759,HO,0,1,31,0,0,0
248180,HO,0,1,38,0,0,0
254104,HO,0,2,78,0,0,0
260474,HO,0,2,46,4,1,0
269239,HO,0,2,43,1,403,0
283721,HO,0,2,60,0,0,0
291019,HO,0,2,39,1,403,0
298456,HO,0,2,22,1,65,0
308763,HO,0,1,46,1,33,0
312504,HO,0,1,46,0,0,0
320984,HO,0,1,67,0,0,0
330328,HO,0,2,64,0,0,0
331749,HO,0,2,28,0,0,0
333700,HO,0,2,55,0,503,0
348251,HO,0,1,75,0,0,0
367977,HO,0,1,58,0,0,0
374801,HO,0,1,14,0,0,0
381329,HO,0,1,22,0,0,0
381674,HO,0,1,30,0,0,0
383836,HO,0,1,21,0,0,0
389815,HO,0,2,94,0,0,0
391813,HO,0,2,31,4,1,0
398385,HO,0,2,47,6,1,0
403559,HO,0,1,69,1,35,0
410035,HO,0,2,57,0,0,0
440499,HO,0,2,48,3,1,0
446061,HO,0,1,77,0,0,0
451966,HO,0,2,264,3,1,0
453062,HO,0,2,56,0,0,0
458222,HO,0,1,67,0,0,0
