0,INIT,0,1,230000
0,INIT,1,1,230000
0,SOL_INIT_SCHED,1,0,30,90,2,1500,1,2000,82,2,4000,46
8362,HO,0,1,31,0,0,0
15120,HO,0,1,46,4,29,0
19850,HO,0,1,29,0,0,0
26492,HO,0,2,132,0,0,0
34358,HO,0,2,60,6,1,0
35468,HO,0,2,108,0,0,0
49013,HO,0,1,17,1,35,0
68731,HO,0,1,55,0,0,0
70001,HO,0,1,2,0,0,0
78363,HO,0,1,14,0,0,0
87683,HO,0,1,60,1,62,0
89576,HO,0,1,43,0,0,0
96105,HO,0,2,46,0,0,0
103716,HO,0,2,10,0,0,0
104071,HO,0,2,67,0,0,0
118672,HO,0,1,8,14,1,0
136974,HO,0,1,55,0,0,0
139302,HO,0,1,62,5,1,0
147664,HO,0,1,22,0,0,0
158793,HO,0,1,23,0,0,0
162353,HO,0,1,23,0,0,0
168302,HO,0,2,89,2,1,0
176639,HO,0,2,21,30,503,0
177007,HO,0,2,77,0,0,0
193940,HO,0,1,23,2,9,0
213724,HO,0,1,30,2,1,0
215770,HO,0,1,27,1,39,0
